"gene","rho","p","padj"
"ADAMTS9",0.162221421130763,0.520146924316265,0.680567031492394
"ADAMTS9-AS1",0.0604354314016566,0.811714193149573,0.886315018500158
"ADAMTS9-AS2",-0.403963146737389,0.0963987855063674,0.231920834482621
"ADAMTSL1",-0.594811877479463,0.00922126630123428,0.0513186891628331
"ADAMTSL3",-0.11132842626621,0.660089809005101,0.785649509169397
"ADAMTSL4",0.0190848730742074,0.940084544711248,0.964751911659215
"ADAMTSL4-AS1",0.636162435806912,0.00453762966759015,0.0338003977004677
"ADAMTSL5",-0.10496680190814,0.678498032523199,0.799877377342599
"ADAP1",0.314900405724421,0.203097275387943,0.379103442875603
"ADAP2",0.0477121826855184,0.850877093167995,0.911361847373639
"ADAR",0.0731586801177949,0.77297210731355,0.861711582387158
"ADARB1",0.0731586801177949,0.77297210731355,0.861711582387158
"ADARB2",0.00318081217903456,0.990005838297366,0.9918064855049
"ADAT1",-0.512110760824564,0.0298003448293987,0.105614126474021
"ADAT2",-0.0159040608951728,0.950057491398571,0.970666219957866
"ADAT3",0.372155024947044,0.128308178494489,0.280108209993088
"ADCK1",-0.674332181955327,0.0021459961981378,0.022139936843327
"ADCK2",0.524834009540702,0.0253314041671609,0.0948803198395605
"ADCK5",-0.0890627410129677,0.725263057271196,0.83234408858841
"ADCY1",0.333985278798629,0.175566555832454,0.346123407794962
"ADCY10",-0.0922435531920022,0.715829665482683,0.826300293215516
"ADCY2",-0.295815532650214,0.233322285074124,0.413084606315607
"ADCY3",0.235380101248557,0.347092469256987,0.530933932955088
"ADCY4",0.655247308881119,0.00316002087286121,0.0274704313406248
"ADCY5",-0.410324771095458,0.0907777271361468,0.222886521964172
"ADCY6",-0.607535126195601,0.00748847935709081,0.0451060319476774
"ADCY6-DT",-0.330804466619594,0.179970343304257,0.351658645780459
"ADCY7",0.174944669846901,0.487477729896881,0.653783963890785
"ADCY9",0.0413505583274493,0.870589608062596,0.924584721668536
